league,team,Total,pick,pfref_id,FantPos
10ii3rfh,team_1,97.89216619411543,1.0,ChasJa00,WR
10ii3rfh,team_1,97.89216619411543,20.0,JacoJo01,RB
10ii3rfh,team_1,97.89216619411543,21.0,HurtJa00,QB
10ii3rfh,team_1,97.89216619411543,40.0,JoneAa00,RB
10ii3rfh,team_1,97.89216619411543,41.0,PierDa01,RB
10ii3rfh,team_1,97.89216619411543,60.0,LawrTr00,QB
10ii3rfh,team_1,97.89216619411543,61.0,GodwCh00,WR
10ii3rfh,team_1,97.89216619411543,80.0,ConnJa00,RB
10ii3rfh,team_1,97.89216619411543,81.0,DotsJa00,WR
10ii3rfh,team_1,97.89216619411543,100.0,SmitJu00,WR
10ii3rfh,team_1,97.89216619411543,101.0,SuttCo00,WR
10ii3rfh,team_1,97.89216619411543,120.0,KmetCo00,TE
10ii3rfh,team_1,97.89216619411543,121.0,McKiJe00,RB
10ii3rfh,team_1,97.89216619411543,140.0,ForeDO00,RB
10ii3rfh,team_10,95.57139178362405,10.0,HenrDe00,RB
10ii3rfh,team_10,95.57139178362405,11.0,StxxAm00,WR
10ii3rfh,team_10,95.57139178362405,30.0,HarrNa00,RB
10ii3rfh,team_10,95.57139178362405,31.0,MetcDK00,WR
10ii3rfh,team_10,95.57139178362405,50.0,HerbJu00,QB
10ii3rfh,team_10,95.57139178362405,51.0,DobbJK00,RB
10ii3rfh,team_10,95.57139178362405,70.0,KamaAl00,RB
10ii3rfh,team_10,95.57139178362405,71.0,CookJa01,RB
10ii3rfh,team_10,95.57139178362405,90.0,WillJa06,RB
10ii3rfh,team_10,95.57139178362405,91.0,DillAJ00,RB
10ii3rfh,team_10,95.57139178362405,110.0,SchuDa00,TE
10ii3rfh,team_10,95.57139178362405,111.0,MoorEl00,WR
10ii3rfh,team_10,95.57139178362405,130.0,WillJa11,WR
10ii3rfh,team_10,95.57139178362405,131.0,BigsTa00,RB
10ii3rfh,team_2,93.20213813478753,2.0,RobiBi01,RB
10ii3rfh,team_2,93.20213813478753,19.0,MahoPa00,QB
10ii3rfh,team_2,93.20213813478753,22.0,AlleJo02,QB
10ii3rfh,team_2,93.20213813478753,39.0,WalkKe00,RB
10ii3rfh,team_2,93.20213813478753,42.0,HopkDe00,WR
10ii3rfh,team_2,93.20213813478753,59.0,WallDa01,TE
10ii3rfh,team_2,93.20213813478753,62.0,JeudJe00,WR
10ii3rfh,team_2,93.20213813478753,79.0,JohnDi01,WR
10ii3rfh,team_2,93.20213813478753,82.0,CookBr00,WR
10ii3rfh,team_2,93.20213813478753,99.0,SmitGe00,QB
10ii3rfh,team_2,93.20213813478753,102.0,RodgAa00,QB
10ii3rfh,team_2,93.20213813478753,119.0,MostRa00,RB
10ii3rfh,team_2,93.20213813478753,122.0,AllgTy00,RB
10ii3rfh,team_2,93.20213813478753,139.0,SingDe00,RB
10ii3rfh,team_3,104.33055630457223,3.0,McCaCh01,RB
10ii3rfh,team_3,104.33055630457223,18.0,PollTo00,RB
10ii3rfh,team_3,104.33055630457223,23.0,WilsGa00,WR
10ii3rfh,team_3,104.33055630457223,38.0,BurrJo01,QB
10ii3rfh,team_3,104.33055630457223,43.0,RidlCa00,WR
10ii3rfh,team_3,104.33055630457223,58.0,WillMi07,WR
10ii3rfh,team_3,104.33055630457223,63.0,MattAl01,RB
10ii3rfh,team_3,104.33055630457223,78.0,EvanMi00,WR
10ii3rfh,team_3,104.33055630457223,83.0,BrowMa04,WR
10ii3rfh,team_3,104.33055630457223,98.0,AddiJo00,WR
10ii3rfh,team_3,104.33055630457223,103.0,GibsAn00,RB
10ii3rfh,team_3,104.33055630457223,118.0,KincDa00,TE
10ii3rfh,team_3,104.33055630457223,123.0,MoorSk01,WR
10ii3rfh,team_3,104.33055630457223,138.0,OkonCh00,TE
10ii3rfh,team_4,90.7996146869432,4.0,BrowAJ00,WR
10ii3rfh,team_4,90.7996146869432,17.0,WaddJa00,WR
10ii3rfh,team_4,90.7996146869432,24.0,TaylJo02,RB
